rows,cols,vehicles,hub_ratio,variance,method,iteration,best_fitness
8,8,10,0.0,0.5,ga,4,131726.662
8,8,10,0.0,0.5,ga,5,131726.662
8,8,10,0.0,0.5,ga,6,131726.662
8,8,10,0.0,0.5,ga,7,131726.662
8,8,10,0.0,0.5,ga,8,131726.662
8,8,10,0.0,0.5,ga,9,131726.662
8,8,10,0.0,0.5,ga,10,131726.662
8,8,10,0.0,0.5,ga,11,131726.662
8,8,10,0.0,0.5,ga,12,131726.662
8,8,10,0.0,0.5,ga,13,131726.662
8,8,10,0.0,0.5,ga,14,131726.662
8,8,10,0.0,0.5,ga,15,131726.662
8,8,10,0.0,0.5,ga,16,131726.662
8,8,10,0.0,0.5,ga,17,131726.662
8,8,10,0.0,0.5,ga,18,131726.662
8,8,10,0.0,0.5,ga,19,131726.662
8,8,10,0.0,0.5,ga,20,131726.662
8,8,10,9.0,0.1,qpso,0,101280.3042
8,8,10,9.0,0.1,qpso,1,100363.2926
8,8,10,9.0,0.1,qpso,2,100363.2926
8,8,10,9.0,0.1,qpso,3,100363.2926
8,8,10,9.0,0.1,qpso,4,100233.5881
8,8,10,9.0,0.1,qpso,5,100173.1939
8,8,10,9.0,0.1,qpso,6,100013.6974
8,8,10,9.0,0.1,qpso,7,99839.2167
8,8,10,9.0,0.1,qpso,8,99839.2167
8,8,10,9.0,0.1,qpso,9,99736.7628
8,8,10,9.0,0.1,qpso,10,99736.7628
8,8,10,9.0,0.1,qpso,11,99630.903
8,8,10,9.0,0.1,qpso,12,99630.903
8,8,10,9.0,0.1,qpso,13,99630.903
8,8,10,9.0,0.1,qpso,14,99594.5054
8,8,10,9.0,0.1,qpso,15,99403.8785
8,8,10,9.0,0.1,qpso,16,99403.8785
8,8,10,9.0,0.1,qpso,17,99403.8785
8,8,10,9.0,0.1,qpso,18,99403.8785
8,8,10,9.0,0.1,qpso,19,99397.2048
8,8,10,9.0,0.1,qpso,20,99397.2048
8,8,10,9.0,0.1,pso,0,101280.3042
8,8,10,9.0,0.1,pso,1,101280.3042
8,8,10,9.0,0.1,pso,2,101099.8861
8,8,10,9.0,0.1,pso,3,100901.6343
8,8,10,9.0,0.1,pso,4,100249.3824
8,8,10,9.0,0.1,pso,5,100249.3824
8,8,10,9.0,0.1,pso,6,100249.3824
8,8,10,9.0,0.1,pso,7,100249.3824
8,8,10,9.0,0.1,pso,8,100249.3824
8,8,10,9.0,0.1,pso,9,100249.3824
8,8,10,9.0,0.1,pso,10,100249.3824
8,8,10,9.0,0.1,pso,11,100249.3824
8,8,10,9.0,0.1,pso,12,100249.3824
8,8,10,9.0,0.1,pso,13,100249.3824
8,8,10,9.0,0.1,pso,14,100249.3824
8,8,10,9.0,0.1,pso,15,100249.3824
8,8,10,9.0,0.1,pso,16,100249.3824
8,8,10,9.0,0.1,pso,17,100192.0618
8,8,10,9.0,0.1,pso,18,100180.5993
8,8,10,9.0,0.1,pso,19,100059.2838
8,8,10,9.0,0.1,pso,20,100059.2838
8,8,10,9.0,0.1,ga,0,101280.3042
8,8,10,9.0,0.1,ga,1,101280.3042
8,8,10,9.0,0.1,ga,2,100962.3629
8,8,10,9.0,0.1,ga,3,100408.3571
8,8,10,9.0,0.1,ga,4,100408.3571
8,8,10,9.0,0.1,ga,5,100276.4789
8,8,10,9.0,0.1,ga,6,100072.355
8,8,10,9.0,0.1,ga,7,99488.3796
8,8,10,9.0,0.1,ga,8,99488.3796
8,8,10,9.0,0.1,ga,9,99488.3796
8,8,10,9.0,0.1,ga,10,99488.3796
8,8,10,9.0,0.1,ga,11,99488.3796
8,8,10,9.0,0.1,ga,12,99488.3796
8,8,10,9.0,0.1,ga,13,99488.3796
8,8,10,9.0,0.1,ga,14,99488.3796
8,8,10,9.0,0.1,ga,15,99488.3796
8,8,10,9.0,0.1,ga,16,99488.3796
8,8,10,9.0,0.1,ga,17,99488.3796
8,8,10,9.0,0.1,ga,18,99488.3796
8,8,10,9.0,0.1,ga,19,99488.3796
8,8,10,9.0,0.1,ga,20,99488.3796
8,8,10,9.0,0.5,qpso,0,200365.9211
8,8,10,9.0,0.5,qpso,1,197433.3872
8,8,10,9.0,0.5,qpso,2,194568.5579
8,8,10,9.0,0.5,qpso,3,194568.5579
8,8,10,9.0,0.5,qpso,4,193132.1582
8,8,10,9.0,0.5,qpso,5,193132.1582
8,8,10,9.0,0.5,qpso,6,193132.1582
8,8,10,9.0,0.5,qpso,7,192812.907
8,8,10,9.0,0.5,qpso,8,192645.1474
8,8,10,9.0,0.5,qpso,9,192645.1474
8,8,10,9.0,0.5,qpso,10,192645.1474
